eyelid_thickness_mm,state,fit_status,identifiability_status,n_points,n_distinct_pressures,fit_range_min_mmhg,fit_range_max_mmhg,g0_1_over_b,lambda_a_over_b_per_mmhg,a_per_mmhg,b_dimensionless,pstar_b_over_a_mmhg,se_g0_1_over_b,se_lambda_a_over_b_per_mmhg,se_a_per_mmhg,se_b_dimensionless,se_pstar_b_over_a_mmhg,parameter_correlation_a_b,scaled_jacobian_condition_number,r2_probe_space,rmse_probe_mmhg,mae_probe_mmhg,rmse_inverse_iop_mmhg,mae_inverse_iop_mmhg,bootstrap_requested,bootstrap_successful,residual_skewness,residual_excess_kurtosis,shapiro_p,linearized_b_dimensionless,linearized_a_per_mmhg,linearized_r2,limitation,ci95_low_g0_1_over_b,ci95_high_g0_1_over_b,ci95_low_lambda_a_over_b_per_mmhg,ci95_high_lambda_a_over_b_per_mmhg,ci95_low_a_per_mmhg,ci95_high_a_per_mmhg,ci95_low_b_dimensionless,ci95_high_b_dimensionless,ci95_low_pstar_b_over_a_mmhg,ci95_high_pstar_b_over_a_mmhg
1.25,primary_0p26,success,identifiable,25,25,0.0,60.0,0.5149529387968979,0.0317278121404957,0.06161303247365181,1.9419250278216378,31.51808878506479,0.02276050845172506,0.0025190248299953436,0.002272788240388011,0.08583153464783581,2.502373876017773,-0.9167058029367737,10.67971408607885,0.990673734927984,0.3023697979601845,0.19723961944893567,1.2469203263591393,1.0612547645830648,1000.0,1000.0,1.6890988057982135,3.8732614283115474,0.0007830387796246035,3.7025172081906503,0.019405211170311937,0.03388358697842564,deterministic FE pressure states are not independent experimental replicates,0.46327539497818243,0.5577038902905455,0.026423277803726605,0.03640206038512338,0.05695007773842337,0.06535613247948352,1.7930662220104185,2.158543314998516,27.47097324021412,37.845418337164226
0.8,sensitivity_0p28,not_fitted,not_identifiable_one_nonzero_pressure,2,2,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,one nonzero pressure gives zero residual degrees of freedom for the two-parameter model,,,,,,,,,,
1.0,sensitivity_0p28,not_fitted,not_identifiable_one_nonzero_pressure,2,2,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,one nonzero pressure gives zero residual degrees of freedom for the two-parameter model,,,,,,,,,,
1.2,sensitivity_0p28,not_fitted,not_identifiable_one_nonzero_pressure,2,2,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,one nonzero pressure gives zero residual degrees of freedom for the two-parameter model,,,,,,,,,,
1.25,sensitivity_0p28,success,identifiable,25,25,0.0,60.0,0.5578050622296126,0.031937770995802334,0.057256151222692925,1.7927409909169383,31.310888919938485,0.02367720111363292,0.0024289744192905224,0.0020172672870875604,0.07609663637136582,2.381297938474589,-0.9164233155032059,10.693935955598198,0.9913596532078804,0.31300402224547397,0.2094088074802799,1.2635030380102064,1.0748332374472045,1000.0,1000.0,1.5601989009571269,3.456639681690689,0.0016063408735339003,2.985160846106049,0.02866879900538203,0.14828189262246483,deterministic FE pressure states are not independent experimental replicates,0.5053721007379933,0.6049693216898252,0.0268155774752406,0.036685835787294056,0.05306629423635633,0.06066706838568609,1.6529763911043869,1.9787400872245773,27.25847769570891,37.291758138590794
1.4,sensitivity_0p28,not_fitted,not_identifiable_one_nonzero_pressure,2,2,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,one nonzero pressure gives zero residual degrees of freedom for the two-parameter model,,,,,,,,,,
1.5,sensitivity_0p28,not_fitted,not_identifiable_one_nonzero_pressure,2,2,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,one nonzero pressure gives zero residual degrees of freedom for the two-parameter model,,,,,,,,,,
1.6,sensitivity_0p28,not_fitted,not_identifiable_one_nonzero_pressure,2,2,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,one nonzero pressure gives zero residual degrees of freedom for the two-parameter model,,,,,,,,,,
1.8,sensitivity_0p28,not_fitted,not_identifiable_one_nonzero_pressure,2,2,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,one nonzero pressure gives zero residual degrees of freedom for the two-parameter model,,,,,,,,,,
2.0,sensitivity_0p28,not_fitted,not_identifiable_one_nonzero_pressure,2,2,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,one nonzero pressure gives zero residual degrees of freedom for the two-parameter model,,,,,,,,,,
