output,unit,status,log_sensitivity,relative_range_over_reference,maximum_relative_deviation_from_reference,coefficient_of_variation,interpretation,reference_thickness_mm,reference_value,minimum,maximum,sensitivity_se,sensitivity_ci95_low,sensitivity_ci95_high,log_log_r2,log_log_p_value
a,1/mmHg,not_identifiable_across_thickness,,,,,Only one nonzero pressure is available per non-reference thickness; two rational parameters cannot be separated.,,,,,,,,,
b,1,not_identifiable_across_thickness,,,,,Only one nonzero pressure is available per non-reference thickness; two rational parameters cannot be separated.,,,,,,,,,
G0=1/b,1,not_identifiable_across_thickness,,,,,Only one nonzero pressure is available per non-reference thickness; two rational parameters cannot be separated.,,,,,,,,,
lambda=a/b,1/mmHg,not_identifiable_across_thickness,,,,,Only one nonzero pressure is available per non-reference thickness; two rational parameters cannot be separated.,,,,,,,,,
zero_iop_baseline_force,N,estimable_single_factor,1.0330407366270813,0.9783381417979504,0.6034441192012321,0.27872619276293564,direct total-force baseline,1.25,0.16191409651865,0.10121346955966,0.25962020587861,0.00665747127342021,1.0172983185996696,1.048783154654493,0.9997093599194565,1.2182191504859532e-13
total_probe_force_at_20,N,estimable_single_factor,0.951835230749548,0.898601125021154,0.5529559531598061,0.25894237115474156,direct total probe reaction,1.25,0.17573429978338,0.11499258753282,0.27290762702297,0.005088753772372094,0.9398022401690127,0.9638682213300833,0.9997999629321735,3.294978071980879e-14
delta_probe_force_at_20,N,estimable_single_factor,0.009322924827161665,0.08093899413221507,0.0423880328934761,0.023311837160267468,zero-referenced IOP-induced force increment,1.25,0.01382020326473,0.0132874211443599,0.0144060144953099,0.03053565188816293,-0.0628824181657834,0.08152826782010673,0.013141556131209708,0.7690066015541016
P_probe_delta_at_20,mmHg,estimable_single_factor,0.009322924827170107,0.08093899413221424,0.04238803289348056,0.023311837160267745,direct zero-referenced pressure-like readout,1.25,7.072211426411742,6.799570877840013,7.371988556984132,0.03053565188816288,-0.06288241816577483,0.08152826782011505,0.013141556131218812,0.7690066015538993
G_eff_at_20=P_probe/P_IOP,1,estimable_single_factor,0.009322924827168518,0.0809389941322142,0.0423880328934805,0.023311837160267728,single-pressure effective gain G0/(1+20 lambda); it is not G0,1.25,0.3536105713205871,0.33997854389200066,0.3685994278492066,0.03053565188816286,-0.06288241816577639,0.08152826782011341,0.013141556131220589,0.7690066015539372
shared_calibration_iop_prediction,mmHg,estimable_single_factor,0.01655756769254017,0.13647497417404023,0.07334733257786853,0.039151539304806,20-mmHg prediction using the h=1.25-mm shared rational calibration,1.25,21.306051948928182,19.96105113766683,22.868794027147562,0.051331621147368965,-0.1048224285461015,0.13793756393118184,0.0146459445736421,0.756448425866813
