record_type,source_file,case_id,state,eyelid_thickness_mm,cornea_thickness_mm,p_iop_mmhg,p_iop_pa,p_probe_delta_mmhg,p_probe_delta_pa,p_probe_absolute_mmhg,probe_force_n,probe_force_delta_n,probe_displacement_mm,eyelid_modulus_scale,cornea_modulus_scale,corneal_radius_mm,probe_area_mm2,corneal_applanation_area_mm2,contact_force_n,eyelid_displacement_mm,corneal_displacement_mm,tangent_stiffness_n_per_mm,source_status,assumption_note
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_0.0,primary_0p26,1.25,0.6,0.0,0.0,0.0,0.0,,0.14603312233753,0.0,0.259875,,,7.8,14.65741468458854,5.317452780205752,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_2.5,primary_0p26,1.25,0.6,2.5,333.305,0.2131225392001604,28.413923171243784,,0.14644959814315,0.00041647580562,0.259875,,,7.8,14.65741468458854,5.31947640622398,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_5.0,primary_0p26,1.25,0.6,5.0,666.61,1.420075281027457,189.32727661714264,,0.14880817841056,0.0027750560730299,0.259875,,,7.8,14.65741468458854,5.234757720814007,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_7.5,primary_0p26,1.25,0.6,7.5,999.915,2.828621976178267,377.11753910803895,,0.15156070576791,0.00552758343038,0.259875,,,7.8,14.65741468458854,5.227063103011447,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_10.0,primary_0p26,1.25,0.6,10.0,1333.22,4.054410649992031,540.5421366782375,,0.15395609448354,0.00792297214601,0.259875,,,7.8,14.65741468458854,5.17125797835375,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_12.5,primary_0p26,1.25,0.6,12.5,1666.525,4.943005551939201,659.0113861956382,,0.15569255219959,0.00965942986206,0.259875,,,7.8,14.65741468458854,5.019007443932135,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_15.0,primary_0p26,1.25,0.6,15.0,1999.83,5.599841227108005,746.5820320804935,,0.1569761150175,0.01094299267997,0.259875,,,7.8,14.65741468458854,4.930691714003912,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_17.5,primary_0p26,1.25,0.6,17.5,2333.135,6.114935700663478,815.2554574838563,,0.15798269267301,0.0119495703354799,0.259875,,,7.8,14.65741468458854,4.934380269442286,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_20.0,primary_0p26,1.25,0.6,20.0,2666.44,6.542306492824867,872.233386236397,,0.15881784411045,0.01278472177292,0.259875,,,7.8,14.65741468458854,4.9382329831556735,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_22.5,primary_0p26,1.25,0.6,22.5,2999.745,6.912171364537767,921.5445106629041,,0.15954061970704,0.01350749736951,0.259875,,,7.8,14.65741468458854,4.8280739615279575,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
