source_id,pair_id,treatment,curve_type,pressure_mmhg,apex_displacement_mm,source_file
PORCINE_DRYAD_2020,1,CXL,experimental,0,0,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,2.725,0.027875,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,5.45,0.121325,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,8.175,0.14705,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,10.9,0.16165667,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,13.625,0.17306217,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,16.35,0.18276767,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,19.075,0.18986217,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,21.8,0.1952705,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,24.525,0.20116643,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,experimental,27.25,0.20676886,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,0,0,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,0.03300264,0.00075912,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,0.06600528,0.0015192,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,0.11550924,0.00266171,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,0.18969017,0.00438118,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,0.30107408,0.00697136,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,0.46811245,0.01087666,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,0.71863249,0.01675987,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,1.0944125,0.02557659,EYE1_target_curve_before_after_CXL.xlsx
PORCINE_DRYAD_2020,1,CXL,source_FE_simulation,1.6581576,0.03855801,EYE1_target_curve_before_after_CXL.xlsx
