source_id,age_year,strain,reported_stress_mpa,reported_tangent_modulus_mpa,equation_stress_mpa,equation_tangent_modulus_mpa,stress_rounding_difference_mpa,modulus_rounding_difference_mpa,modulus_relative_difference_percent
AGE_INFLATION_2010,40,0.01,0.002,0.231,0.0015040773,0.23021359,-0.00049592271,-0.00078641328,-0.34043865
AGE_INFLATION_2010,40,0.02,0.005,0.58,0.0052842875,0.57859776,0.00028428747,-0.001402243,-0.24176603
AGE_INFLATION_2010,40,0.03,0.015,1.457,0.014785122,1.4541946,-0.00021487827,-0.0028053577,-0.19254342
AGE_INFLATION_2010,60,0.01,0.002,0.327,0.0021348152,0.32597831,0.00013481522,-0.0010216861,-0.31244222
AGE_INFLATION_2010,60,0.02,0.007,0.817,0.0074703018,0.81470889,0.00047030184,-0.0022911114,-0.2804298
AGE_INFLATION_2010,60,0.03,0.021,2.042,0.020805141,2.0361802,-0.00019485903,-0.0058198471,-0.28500721
AGE_INFLATION_2010,80,0.01,0.003,0.431,0.0027926369,0.42947389,-0.00020736307,-0.0015261074,-0.35408525
AGE_INFLATION_2010,80,0.02,0.01,1.095,0.0098904469,1.0915576,-0.00010955308,-0.0034423913,-0.31437364
AGE_INFLATION_2010,80,0.03,0.028,2.784,0.027930353,2.77432,-6.9647428e-05,-0.0096799921,-0.34770087
AGE_INFLATION_2010,100,0.01,0.004,0.556,0.0035439447,0.55410267,-0.00045605529,-0.0018973341,-0.34124713
AGE_INFLATION_2010,100,0.02,0.013,1.471,0.01291139,1.4646184,-8.8609805e-05,-0.006381633,-0.43382957
AGE_INFLATION_2010,100,0.03,0.038,3.891,0.037671662,3.8713168,-0.00032833784,-0.019683198,-0.50586476
