source_id,cycle,age_year,strain,stress_mpa,tangent_modulus_mpa,coefficient_a_mpa,coefficient_b
AGE_INFLATION_2010,first_loading,40,0,0,0.091597824,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0005,4.6870515e-05,0.095917411,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.001,9.5951359e-05,0.1004407,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0015,0.00014734677,0.1051773,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.002,0.00020116589,0.11013727,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0025,0.00025752302,0.11533115,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.003,0.00031653785,0.12076995,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0035,0.00037833572,0.12646524,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.004,0.00044304785,0.13242911,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0045,0.0005108117,0.13867423,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.005,0.00058177117,0.14521385,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0055,0.00065607695,0.15206188,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.006,0.00073388686,0.15923284,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0065,0.00081536615,0.16674197,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.007,0.00090068785,0.17460522,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0075,0.00099003316,0.18283928,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.008,0.0010835918,0.19146165,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0085,0.0011815626,0.20049063,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.009,0.0012841534,0.2099454,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0095,0.0013915823,0.21984605,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.01,0.0015040773,0.23021359,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0105,0.0016218773,0.24107004,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.011,0.0017452326,0.25243846,0.0009939,92.16
