source_id,pair_id,treatment,source_ogden_mu_mpa,source_ogden_alpha,fit_range,fit_end_strain,strategy,c10_mpa,c01_mpa,c01_over_c10,c10_over_current_model,equivalent_base_material_scale,mr_small_strain_e_mpa,ogden_small_strain_e_mpa,rmse_mpa,nrmse_span_percent,r_squared,max_abs_error_mpa,stability_flag,parameter_use
PORCINE_DRYAD_2020,1,control_PBS,0.0102,96.07,strain_0_to_0p03,0.03,mr_free_nonnegative,0.01363687,0,0,0.16529539,0.12397155,0.08182122,0.0306,0.00039462118,11.016546,0.83691869,0.0011267255,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,1,control_PBS,0.0102,96.07,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.011153845,0.0025349647,0.22727273,0.13519812,0.10139859,0.082132856,0.0306,0.00039605709,11.056632,0.83572972,0.0011306677,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,1,control_PBS,0.0102,96.07,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.0041555556,0.00094444444,0.22727273,0.05037037,0.037777778,0.0306,0.0306,0.0009739956,27.190805,0.0065239512,0.0026687626,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,1,control_PBS,0.0102,96.07,strain_0_to_0p03,0.03,mr_free_unconstrained,0.65923805,-0.66013046,-1.0013537,7.9907643,5.9930732,-0.0053544504,0.0306,9.0568321e-05,2.5283744,0.99140994,0.00028087122,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,1,control_PBS,0.0102,96.07,stress_0_to_0p03mpa,0.052890062,mr_free_nonnegative,0.04645213,0,0,0.56305612,0.42229209,0.27871278,0.0306,0.0045871273,15.290424,0.62998904,0.015245809,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,1,control_PBS,0.0102,96.07,stress_0_to_0p03mpa,0.052890062,mr_fixed_current_ratio,0.038084802,0.0086556369,0.22727273,0.46163397,0.34622548,0.28044264,0.0306,0.0046012835,15.337612,0.62770176,0.015292338,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,1,control_PBS,0.0102,96.07,stress_0_to_0p03mpa,0.052890062,mr_small_strain_conversion,0.0041555556,0.00094444444,0.22727273,0.05037037,0.037777778,0.0306,0.0306,0.0088721728,29.573909,-0.38418132,0.0283952,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,1,control_PBS,0.0102,96.07,stress_0_to_0p03mpa,0.052890062,mr_free_unconstrained,2.3843742,-2.4305883,-1.0193821,28.901505,21.676129,-0.27728472,0.0306,0.001679135,5.5971167,0.95042026,0.0058981999,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,1,CXL,0.0403,112.54,strain_0_to_0p03,0.03,mr_free_nonnegative,0.069457487,0,0,0.84190894,0.6314317,0.41674492,0.1209,0.002461798,12.43052,0.78482891,0.0072984752,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,1,CXL,0.0403,112.54,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.056807116,0.012910708,0.22727273,0.68857111,0.51642833,0.41830695,0.1209,0.0024690486,12.467132,0.78355957,0.0073193078,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,1,CXL,0.0403,112.54,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.016418519,0.0037314815,0.22727273,0.19901235,0.14925926,0.1209,0.1209,0.0056981388,28.771992,-0.1527766,0.016195977,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,1,CXL,0.0403,112.54,strain_0_to_0p03,0.03,mr_free_unconstrained,4.0623838,-4.0827872,-1.0050225,49.241015,36.930761,-0.1224208,0.1209,0.0006460591,3.2621892,0.98518084,0.0020670196,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,1,CXL,0.0403,112.54,stress_0_to_0p03mpa,0.033778898,mr_free_nonnegative,0.087358176,0,0,1.058887,0.79416524,0.52414906,0.1209,0.0040204268,13.401423,0.7419317,0.012288309,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,1,CXL,0.0403,112.54,stress_0_to_0p03mpa,0.033778898,mr_fixed_current_ratio,0.071476499,0.016244659,0.22727273,0.86638181,0.64978635,0.52632695,0.1209,0.0040318435,13.439478,0.74046396,0.012322333,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,1,CXL,0.0403,112.54,stress_0_to_0p03mpa,0.033778898,mr_small_strain_conversion,0.016418519,0.0037314815,0.22727273,0.19901235,0.14925926,0.1209,0.1209,0.0088505619,29.501873,-0.25063916,0.025939349,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,1,CXL,0.0403,112.54,stress_0_to_0p03mpa,0.033778898,mr_free_unconstrained,5.1997712,-5.2419384,-1.0081094,63.02753,47.270647,-0.25300346,0.1209,0.0011652007,3.8840025,0.97832337,0.0038224068,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,2,control_PBS,0.01,57.3,strain_0_to_0p03,0.03,mr_free_nonnegative,0.0080381193,0,0,0.097431749,0.073073812,0.048228716,0.03,0.00011580431,6.6211318,0.94513281,0.00030172793,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,2,control_PBS,0.01,57.3,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.0065754394,0.0014944181,0.22727273,0.079702296,0.059776722,0.048419145,0.03,0.00011666428,6.6703004,0.94431489,0.00030385049,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,2,control_PBS,0.01,57.3,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.0040740741,0.00092592593,0.22727273,0.049382716,0.037037037,0.03,0.03,0.00033877136,19.369312,0.53045564,0.00085360448,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,2,control_PBS,0.01,57.3,strain_0_to_0p03,0.03,mr_free_unconstrained,0.20052408,-0.19681787,-0.98151735,2.430595,1.8229462,0.022237293,0.03,1.7227753e-05,0.98499978,0.99878572,4.9536505e-05,conditional_negative_c01,reject_if_not_positive_stable
PORCINE_DRYAD_2020,2,control_PBS,0.01,57.3,stress_0_to_0p03mpa,0.080851358,mr_free_nonnegative,0.032921632,0,0,0.39905009,0.29928757,0.19752979,0.03,0.0043845198,14.615066,0.67776146,0.013997252,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,2,control_PBS,0.01,57.3,stress_0_to_0p03mpa,0.080851358,mr_fixed_current_ratio,0.027079347,0.006154397,0.22727273,0.32823451,0.24617588,0.19940246,0.03,0.0044075045,14.691682,0.6743741,0.014069318,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,2,control_PBS,0.01,57.3,stress_0_to_0p03mpa,0.080851358,mr_small_strain_conversion,0.0040740741,0.00092592593,0.22727273,0.049382716,0.037037037,0.03,0.03,0.008994184,29.980613,-0.35599141,0.027603237,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,2,control_PBS,0.01,57.3,stress_0_to_0p03mpa,0.080851358,mr_free_unconstrained,1.0149042,-1.0414131,-1.0261196,12.301869,9.2264021,-0.15905313,0.03,0.0014788398,4.9294659,0.96334142,0.0050188745,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,2,CXL,0.0139,73.31,strain_0_to_0p03,0.03,mr_free_nonnegative,0.013563343,0,0,0.16440416,0.12330312,0.081380061,0.0417,0.00027359369,8.5959632,0.90501012,0.00074070308,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,2,CXL,0.0139,73.31,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.01109463,0.0025215069,0.22727273,0.13448037,0.10086028,0.081696824,0.0417,0.00027503638,8.6412905,0.9040057,0.00074442082,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,2,CXL,0.0139,73.31,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.005662963,0.001287037,0.22727273,0.068641975,0.051481481,0.0417,0.0417,0.0007433885,23.356314,0.29871127,0.0019382012,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,2,CXL,0.0139,73.31,strain_0_to_0p03,0.03,mr_free_unconstrained,0.46569819,-0.46231015,-0.99272483,5.6448265,4.2336199,0.020328193,0.0417,4.9986318e-05,1.5705061,0.99682921,0.00014832466,conditional_negative_c01,reject_if_not_positive_stable
