source_id,pair_id,treatment,eye,ogden_mu_mpa,ogden_alpha
PORCINE_INFLATION_2020,1,control_PBS,left,0.0102,96.07
PORCINE_INFLATION_2020,1,CXL,right,0.0403,112.54
PORCINE_INFLATION_2020,2,control_PBS,left,0.01,57.3
PORCINE_INFLATION_2020,2,CXL,right,0.0139,73.31
PORCINE_INFLATION_2020,3,control_PBS,left,0.0091,64.69
PORCINE_INFLATION_2020,3,CXL,right,0.0126,80.93
PORCINE_INFLATION_2020,4,control_PBS,left,0.0144,75.52
PORCINE_INFLATION_2020,4,CXL,right,0.0112,151.22
PORCINE_INFLATION_2020,5,control_PBS,left,0.0082,57.65
PORCINE_INFLATION_2020,5,CXL,right,0.0088,90.42
PORCINE_INFLATION_2020,6,control_PBS,left,0.0096,53.1
PORCINE_INFLATION_2020,6,CXL,right,0.0085,84.4
PORCINE_INFLATION_2020,7,control_PBS,left,0.0133,51.36
PORCINE_INFLATION_2020,7,CXL,right,0.0288,67.62
