state,input_iop_mmhg,actual_delta_force_n,ideal_force_if_deltaF_equals_iop_times_ac_n,missing_force_n,area_transfer_factor_iopcalc_over_iop,area_transfer_loss_percent,current_ac_5deg_mm2,required_ac_for_exact_area_conversion_mm2,required_ac_reduction_percent,total_area_iop_underestimate_mmhg,low_pressure_offset_component_mmhg_anchored_at_20,pressure_dependent_transfer_component_mmhg
primary_0p26,20.0,0.012784721772920005,0.013167538342585489,0.0003828165696654843,0.9709272485330528,2.907275146694721,4.9382329831556735,4.794664962950508,2.90727514669471,0.5814550293389438,0.5814550293389442,0.0
primary_0p26,25.0,0.014200649366929996,0.015684530151535585,0.0014838807846055888,0.9053920793119639,9.460792068803613,4.705746031154027,4.260545183860566,9.460792068803613,2.3651980172009033,0.7268187866736803,1.6383792305272231
primary_0p26,30.0,0.01539655921682001,0.018617616544570385,0.003221057327750375,0.8269887383253814,17.301126167461856,4.654786931120484,3.849456371340804,17.301126167461845,5.190337850238556,0.8721825440084163,4.318155306230141
primary_0p26,35.0,0.01647155909798001,0.021428779939036816,0.004957220841056806,0.7686652784171703,23.133472158282974,4.592259068391804,3.5299100953691607,23.133472158282974,8.09671525539904,1.0175463013431525,7.079168954055889
primary_0p26,40.0,0.01746421678673002,0.024279478389551593,0.0068152616028215735,0.7192995049780622,28.070049502193783,4.552776604011648,3.2748099575412817,28.070049502193783,11.228019800877512,1.1629100586778884,10.065109742199624
sensitivity_0p28,20.0,0.01382022170290001,0.014251740139966582,0.0004315184370665727,0.9697217018533438,3.027829814665617,5.344842095422948,5.183009372910933,3.0278298146656057,0.6055659629331238,0.6055659629331234,0.0
sensitivity_0p28,25.0,0.015296523631030012,0.017650845942680585,0.0023543223116505724,0.866617026781832,13.338297321816805,5.2956892835676275,4.589334501685787,13.338297321816805,3.3345743304542026,0.7569574536664042,2.577616876787797
sensitivity_0p28,30.0,0.016584095127509996,0.020877089729766613,0.0042929946022566175,0.794368149113444,20.5631850886556,5.219701684224896,4.1463647658220575,20.56318508865559,6.16895552659668,0.908348944399685,5.260606582196995
sensitivity_0p28,35.0,0.01774303817372,0.02361969309635998,0.00587665492263998,0.751196812817791,24.880318718220895,5.061779071089094,3.8023923053899265,24.880318718220895,8.708111551377314,1.0597404351329658,7.6483711162443475
sensitivity_0p28,40.0,0.018845006822840016,0.02654824163893049,0.007703234816090473,0.7098401121679407,29.015988783205927,4.978204699133277,3.5337293820277353,29.015988783205927,11.606395513282372,1.2111319258662467,10.395263587416125
