state,input_iop_mmhg,outer_ae_mm2,inner_ac_5deg_mm2,k_area_ae_over_ac5,delta_probe_pressure_over_full_probe_mmhg,delta_pressure_renormalized_over_ae_mmhg,iop_calc_from_area_ratio_mmhg,iop_error_mmhg,naive_k_area_times_full_probe_pressure_mmhg_not_area_consistent
primary_0p26,0.0,13.052876225311696,5.317452780205752,2.4547234860083953,0.0,0.0,0.0,0.0,0.0
primary_0p26,20.0,12.992362429491527,4.9382329831556735,2.630973968585223,6.542306492824867,7.380743862358761,19.418544970661056,-0.5814550293389438,17.212638077128315
primary_0p26,25.0,12.981325536992436,4.705746031154027,2.758611589119042,7.266876996289621,8.205142787074088,22.634801982799097,-2.3651980172009033,20.046491098667126
primary_0p26,30.0,13.02073684451477,4.654786931120484,2.7972788093611975,7.878858149633224,8.869213203465806,24.809662149761444,-5.190337850238556,22.039362943931792
primary_0p26,35.0,13.05974260410465,4.592259068391804,2.8438601589343993,8.428966226071458,9.460129275372555,26.90328474460096,-8.09671525539904,23.97080123132826
primary_0p26,40.0,13.098559607262061,4.552776604011648,2.8770486115484677,8.936937455920008,10.00051931122464,28.77198019912249,-11.228019800877512,25.712003499050155
sensitivity_0p28,0.0,13.117809389934731,5.956870681344404,2.202130966350637,0.0,0.0,0.0,0.0,0.0
sensitivity_0p28,20.0,12.956443846627105,5.344842095422948,2.424102268189054,7.072201318504799,8.00066659380491,19.394434037066876,-0.6055659629331238,17.1437392572771
sensitivity_0p28,25.0,12.997150537482145,5.2956892835676275,2.4542887321225457,7.827667089393361,8.827578184254165,21.665425669545797,-3.3345743304542026,19.21135513630461
sensitivity_0p28,30.0,12.986023718220407,5.219701684224896,2.487886186574047,8.486554119632837,9.578832264115727,23.83104447340332,-6.16895552659668,21.11358076584761
sensitivity_0p28,35.0,13.02525639354491,5.061779071089094,2.5732565982462745,9.079618305988,10.217359771482226,26.291888448622686,-8.708111551377314,23.364187715441282
sensitivity_0p28,40.0,13.064304407254397,4.978204699133277,2.624300364653333,9.64352706959504,10.819494928686789,28.393604486717628,-11.606395513282372,25.307511605282553
