input_iop_mmhg,delta_probe_pressure_mmhg,delta_probe_force_n,global_iop_projected_force_n,global_iop_projected_area_mm2,probe_capture_fraction_lambda,inverse_capture_fraction,tau_interface_delta,chi_from_original_factorization,chi_reconstructed_from_global_share,ac5_mm2,inverse_capture_fit,capture_fraction_fit,boundary_to_probe_stiffness_ratio_fit,geometric_forward_iop_mmhg,geometric_forward_error_mmhg
0.0,0.0,0.0,0.0,,,,,,,5.317452780205752,11.344814940200989,0.08814599491230517,10.344814940200989,0.0,0.0
2.5,0.21312253920016047,0.00041647580562001463,0.03220405160301003,96.62008677587414,0.01293240399543664,77.32514390618036,1.2709541232101285,3.3495947287468306,3.34959520595127,5.31947640622398,12.468554398436996,0.08020175940567381,11.468554398436996,0.37319051515962726,-2.126809484840373
5.0,1.420075281027457,0.0027750560730299967,0.06434171161803201,96.52049121765572,0.04312996970774207,23.185733882407398,1.0003711790295031,1.2570040488205534,1.2570042279012963,5.234757720814007,13.592293856673006,0.07357109922318665,12.592293856673006,2.713892514405637,-2.286107485594363
7.5,2.828621976178267,0.005527583430380012,0.09654278929335103,96.55071556520804,0.05725526961505245,17.46564127150838,0.975000168058881,0.9697996649773143,0.9697998031411049,5.227063103011447,14.716033314909014,0.06795309432922297,13.716033314909014,6.051136043798675,-1.4488639562013246
10.0,4.054410649992031,0.00792297214601001,0.12874382534511003,96.56579651875118,0.06154059912987463,16.249435561873725,0.9806235656404143,0.8873782285214123,0.887378354942924,5.17125797835375,15.839772773145022,0.06313221877118176,14.839772773145022,9.67903664648789,-0.32096335351210925
12.5,4.943005551939201,0.009659429862060004,0.16093409191035102,96.56838286845405,0.06002102940028908,16.660827213256418,0.9845330680802583,0.8795267890446703,0.8795269143476164,5.019007443932135,16.96351223138103,0.058950056236000845,15.963512231381031,12.883195959879266,0.38319595987926647
15.0,5.599841227108005,0.01094299267997001,0.19312596462901702,96.57091024423532,0.05666246224836116,17.648368255103897,0.9836292183044307,0.9160825262044174,0.9160826567153251,4.9306917140039115,18.08725168961704,0.0552875592798904,17.08725168961704,15.65715275015483,0.6571527501548307
17.5,6.114935700663478,0.011949570335479998,0.22532440759726802,96.57553156508334,0.0530327382767959,18.856276943133878,0.9809207838533698,0.9821717940243311,0.9821719339507334,4.934380269442286,19.21099114785305,0.05205353499482281,18.21099114785305,18.13201815823779,0.6320181582377913
20.0,6.542306492824867,0.012784721772920005,0.257521093170459,96.57833847846528,0.04964533823432284,20.14287817478579,0.9755989375348969,1.0557035740083538,1.0557037244105583,4.9382329831556735,20.334730606089057,0.049176948510965705,19.334730606089057,20.424780083711877,0.4247800837118767
22.5,6.912171364537767,0.013507497369510013,0.28972452080386,96.5827691712315,0.046621864563042716,21.449163592498248,0.9711823098682483,1.1040374312707226,1.104037588558874,4.8280739615279575,21.458470064325066,0.04660164480516766,20.458470064325066,22.614091863915004,0.1140918639150037
25.0,7.266876996289621,0.014200649366929996,0.32195295513678,96.59381635122364,0.04410783979571464,22.671706540866605,0.9687986735851809,1.1400654216468207,1.1400655840677476,4.705746031154027,22.582209522561072,0.04428264643461642,21.582209522561072,24.920376461762988,-0.07962353823701207
27.5,7.564234291037806,0.014781733466960018,0.35416983915376005,96.59970460824431,0.0417362853434356,23.95996653203069,0.9642233855405337,1.2091866438873495,1.2091868161557227,4.70067964860411,23.705948980797082,0.04218350426764381,22.705948980797082,27.03229257347551,-0.46770742652449115
30.0,7.878858149633224,0.015396559216830003,0.38641201132207,96.61093404597379,0.03984492915774594,25.09729647255748,0.9589266642543923,1.2609997763642955,1.260999956014295,4.654786931120484,24.82968843903309,0.04027436761662973,23.82968843903309,29.469499527469864,-0.5305004725301359
