case,profile,offset_mm,indent_mm,mesh_size_mm,probe_fx_n,probe_fy_n,probe_force_n,contact_area_m2,contact_area_mm2,contact_x_center_m,contact_x_center_mm,pmax_pa,max_penetration_m,max_penetration_mm,n_outer,cornea_peak_pa,eyelid_peak_pa,probe_uy_m,commanded_push_m,attempt_count,elapsed_seconds,git_commit
offset_0p00mm_indent_0p00mm,coarse,0.0,0.0,0.3,6.9564177367507e-08,-0.018270499961353,0.018270499961353,9.8490788724703e-07,0.9849078872470299,2.6784241272945e-06,0.0026784241272945,20685.556640625,7.6716784557599e-06,0.007671678455759901,44.0,15921.439392788,14756.016906754,-5e-05,5e-05,1.0,568.686,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_0p00mm_indent_0p40mm,coarse,0.0,0.4,0.3,-3.4349124946052e-07,-0.31387579811441,0.31387579811441,9.2386059979965e-06,9.238605997996501,-2.2936318471034e-07,-0.00022936318471034002,46102.451822917,7.2572972082223e-06,0.007257297208222301,571.0,81565.572399398,44900.202443824,-0.00045,0.00045000000000000004,1.0,1004.382,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_0p00mm_indent_0p80mm,coarse,0.0,0.8,0.3,-0.00011296217740345,-0.74919731086995,0.74919731086995,1.3870182413056e-05,13.870182413056,3.5522053011323e-06,0.0035522053011322998,108888.61458333,6.2924525536801e-06,0.0062924525536801005,860.0,119785.77494214,102169.66361088,-0.00085,0.0008500000000000001,1.0,1453.327,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_0p50mm_indent_0p00mm,coarse,0.5,0.0,0.3,6.4926548298283e-08,-0.018270643636368,0.018270643636368,9.8490786548666e-07,0.98490786548666,2.6784240024319e-06,0.0026784240024319,20686.018229167,7.6710313502796e-06,0.0076710313502796005,44.0,15921.42296026,14756.250596981,-5e-05,5e-05,1.0,559.412,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_0p50mm_indent_0p40mm,coarse,0.5,0.4,0.3,-7.5519904615825e-05,-0.31367131232827,0.31367131232827,9.0356745352516e-06,9.0356745352516,3.5970851003024e-05,0.035970851003024,46119.532552083,7.2178686423285e-06,0.0072178686423285,560.0,81618.45759568,44894.068774888,-0.00045,0.00045000000000000004,1.0,998.616,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_0p50mm_indent_0p80mm,coarse,0.5,0.8,0.3,-0.016072952944506,-0.73072825590159,0.73072825590159,1.374313692315e-05,13.74313692315,0.00053752410651106,0.53752410651106,234149.1328125,1.0064838685745e-05,0.010064838685745,833.0,127010.57336642,101547.47298906,-0.00085,0.0008500000000000001,1.0,1453.645,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_1p00mm_indent_0p00mm,coarse,1.0,0.0,0.3,5.5948929453404e-08,-0.018270788499491,0.018270788499491,9.8490786415439e-07,0.98490786415439,2.6784263823382e-06,0.0026784263823382,20686.852213542,7.6698614369282e-06,0.007669861436928199,44.0,15921.404543936,14756.680418131,-5e-05,5e-05,1.0,582.688,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_1p00mm_indent_0p40mm,coarse,1.0,0.4,0.3,-0.0025855151003432,-0.30596408094249,0.30596408094249,7.4903283295846e-06,7.4903283295846,0.00026128538026901,0.26128538026901,101252.08463542,1.2296918612265e-05,0.012296918612265,467.0,83591.712801766,46122.322622082,-0.00045,0.00045000000000000004,1.0,1090.375,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_1p00mm_indent_0p80mm,coarse,1.0,0.8,0.3,-0.028102919035523,-0.68232323805128,0.68232323805128,1.2338573881054e-05,12.338573881054,0.00085243880883896,0.85243880883896,268235.53385417,9.1888003529069e-06,0.0091888003529069,723.0,136160.61663895,106229.52581843,-0.00085,0.0008500000000000001,1.0,1519.181,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_2p00mm_indent_0p00mm,coarse,2.0,0.0,0.3,-0.00028930333207211,-0.016029864359975,0.016029864359975,7.2962789676723e-07,0.7296278967672299,0.00025911944172151,0.25911944172150997,24653.628255208,8.3467578709436e-06,0.0083467578709436,32.0,16177.23183144,18519.065174974,-5e-05,5e-05,1.0,625.26,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_2p00mm_indent_0p40mm,coarse,2.0,0.4,0.3,-0.015302097673098,-0.25757980596744,0.25757980596744,4.1081482615724e-06,4.108148261572399,0.00079511228790704,0.7951122879070399,223314.63020833,1.5755206428973e-05,0.015755206428973,240.0,88405.262591284,77238.187010796,-0.00045,0.00045000000000000004,1.0,1057.651,bc8610601a6cfeb201330ea96af96d1f253e4f3b
offset_2p00mm_indent_0p80mm,coarse,2.0,0.8,0.3,-0.053538337210867,-0.55893254646076,0.55893254646076,7.5940044439449e-06,7.5940044439448995,0.0013365342493151,1.3365342493151,390443.16145833,1.2843148700388e-05,0.012843148700388,407.0,151852.33102194,145080.96007686,-0.00085,0.0008500000000000001,1.0,1119.69,bc8610601a6cfeb201330ea96af96d1f253e4f3b
