case,profile,offset_mm,indent_mm,mesh_size_mm,status,failure_reason,attempt_count,selected_attempt,np_used,returncode,started_at_utc,ended_at_utc,elapsed_seconds,timeout_seconds,ansys_error_count,views_count,artifact_pruned_files,artifact_pruned_bytes,artifact_prune_error,probe_fx_n,probe_fy_n,contact_area_m2,contact_x_center_m,pmax_pa,max_penetration_m,n_outer,cornea_peak_pa,eyelid_peak_pa,probe_uy_m,probe_uy_max_m,commanded_push_m,preload_converged,indentation_converged,result_load_step,result_time,result_rst,attempt_dir,git_commit,git_dirty
offset_0p00mm_indent_0p00mm,coarse,0.0,0.0,0.3,complete,,1,1,4,0,2026-07-20T12:29:43+00:00,2026-07-20T12:39:11+00:00,568.686,7200,0,9,21,3335788734,,6.9564177367507e-08,-0.018270499961353,9.8490788724703e-07,2.6784241272945e-06,20685.556640625,7.6716784557599e-06,44,15921.439392788,14756.016906754,-5e-05,-5e-05,5e-05,1,1,2.0,2.0,offset_0p00mm_indent_0p00mm/attempt_1/offset_0p00mm_indent_0p00mm.rst,offset_0p00mm_indent_0p00mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_0p00mm_indent_0p40mm,coarse,0.0,0.4,0.3,complete,,1,1,4,0,2026-07-20T12:29:43+00:00,2026-07-20T12:46:27+00:00,1004.382,7200,0,9,21,3346474530,,-3.4349124946052e-07,-0.31387579811441,9.2386059979965e-06,-2.2936318471034e-07,46102.451822917,7.2572972082223e-06,571,81565.572399398,44900.202443824,-0.00045,-0.00045,0.00045000000000000004,1,1,2.0,2.0,offset_0p00mm_indent_0p40mm/attempt_1/offset_0p00mm_indent_0p40mm.rst,offset_0p00mm_indent_0p40mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_0p00mm_indent_0p80mm,coarse,0.0,0.8,0.3,complete,,1,1,4,0,2026-07-20T12:29:43+00:00,2026-07-20T12:53:56+00:00,1453.327,7200,0,9,21,3443006030,,-0.00011296217740345,-0.74919731086995,1.3870182413056e-05,3.5522053011323e-06,108888.61458333,6.2924525536801e-06,860,119785.77494214,102169.66361088,-0.00085,-0.00085,0.0008500000000000001,1,1,2.0,2.0,offset_0p00mm_indent_0p80mm/attempt_1/offset_0p00mm_indent_0p80mm.rst,offset_0p00mm_indent_0p80mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_0p50mm_indent_0p00mm,coarse,0.5,0.0,0.3,complete,,1,1,4,0,2026-07-20T12:29:43+00:00,2026-07-20T12:39:02+00:00,559.412,7200,0,9,21,3318555646,,6.4926548298283e-08,-0.018270643636368,9.8490786548666e-07,2.6784240024319e-06,20686.018229167,7.6710313502796e-06,44,15921.42296026,14756.250596981,-5e-05,-5e-05,5e-05,1,1,2.0,2.0,offset_0p50mm_indent_0p00mm/attempt_1/offset_0p50mm_indent_0p00mm.rst,offset_0p50mm_indent_0p00mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_0p50mm_indent_0p40mm,coarse,0.5,0.4,0.3,complete,,1,1,4,0,2026-07-20T12:39:02+00:00,2026-07-20T12:55:41+00:00,998.616,7200,0,9,21,3331010914,,-7.5519904615825e-05,-0.31367131232827,9.0356745352516e-06,3.5970851003024e-05,46119.532552083,7.2178686423285e-06,560,81618.45759568,44894.068774888,-0.00045,-0.00045,0.00045000000000000004,1,1,2.0,2.0,offset_0p50mm_indent_0p40mm/attempt_1/offset_0p50mm_indent_0p40mm.rst,offset_0p50mm_indent_0p40mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_0p50mm_indent_0p80mm,coarse,0.5,0.8,0.3,complete,,1,1,4,0,2026-07-20T12:39:11+00:00,2026-07-20T13:03:25+00:00,1453.645,7200,0,9,21,3427218018,,-0.016072952944506,-0.73072825590159,1.374313692315e-05,0.00053752410651106,234149.1328125,1.0064838685745e-05,833,127010.57336642,101547.47298906,-0.00085,-0.00085,0.0008500000000000001,1,1,2.0,2.0,offset_0p50mm_indent_0p80mm/attempt_1/offset_0p50mm_indent_0p80mm.rst,offset_0p50mm_indent_0p80mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_1p00mm_indent_0p00mm,coarse,1.0,0.0,0.3,complete,,1,1,4,0,2026-07-20T12:46:27+00:00,2026-07-20T12:56:10+00:00,582.688,7200,0,9,21,3318872958,,5.5948929453404e-08,-0.018270788499491,9.8490786415439e-07,2.6784263823382e-06,20686.852213542,7.6698614369282e-06,44,15921.404543936,14756.680418131,-5e-05,-5e-05,5e-05,1,1,2.0,2.0,offset_1p00mm_indent_0p00mm/attempt_1/offset_1p00mm_indent_0p00mm.rst,offset_1p00mm_indent_0p00mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_1p00mm_indent_0p40mm,coarse,1.0,0.4,0.3,complete,,1,1,4,0,2026-07-20T12:53:56+00:00,2026-07-20T13:12:06+00:00,1090.375,7200,0,9,21,3332193330,,-0.0025855151003432,-0.30596408094249,7.4903283295846e-06,0.00026128538026901,101252.08463542,1.2296918612265e-05,467,83591.712801766,46122.322622082,-0.00045,-0.00045,0.00045000000000000004,1,1,2.0,2.0,offset_1p00mm_indent_0p40mm/attempt_1/offset_1p00mm_indent_0p40mm.rst,offset_1p00mm_indent_0p40mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_1p00mm_indent_0p80mm,coarse,1.0,0.8,0.3,complete,,1,1,4,0,2026-07-20T12:55:41+00:00,2026-07-20T13:21:00+00:00,1519.181,7200,0,9,21,3427695958,,-0.028102919035523,-0.68232323805128,1.2338573881054e-05,0.00085243880883896,268235.53385417,9.1888003529069e-06,723,136160.61663895,106229.52581843,-0.00085,-0.00085,0.0008500000000000001,1,1,2.0,2.0,offset_1p00mm_indent_0p80mm/attempt_1/offset_1p00mm_indent_0p80mm.rst,offset_1p00mm_indent_0p80mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
offset_2p00mm_indent_0p00mm,coarse,2.0,0.0,0.3,complete,,1,1,4,0,2026-07-20T12:56:10+00:00,2026-07-20T13:06:35+00:00,625.26,7200,0,9,21,3311808378,,-0.00028930333207211,-0.016029864359975,7.2962789676723e-07,0.00025911944172151,24653.628255208,8.3467578709436e-06,32,16177.23183144,18519.065174974,-5e-05,-5e-05,5e-05,1,1,2.0,2.0,offset_2p00mm_indent_0p00mm/attempt_1/offset_2p00mm_indent_0p00mm.rst,offset_2p00mm_indent_0p00mm/attempt_1,bc8610601a6cfeb201330ea96af96d1f253e4f3b,false
