effective_indent_mm,eyelid_thickness_mm,contact_zero_total_push_mm,preload_force_n,preload_contact_area_mm2,target_total_push_mm,old_fixed_gap_indent_mm,probe_force_n,outer_contact_area_mm2,outer_contact_coverage_fraction,outer_conservative_area_mm2,outer_conservative_coverage_fraction,inner_pressure_participation_area_mm2,hybrid_ae_over_ac,outer_pressure_effective_area_mm2,inner_pressure_effective_area_mm2,pressure_effective_ratio,status
0.26,0.8,0.0,0.0052004875988975,0.80753723707971,0.26,0.21000000000000005,0.11824111708743,4.3478614108224,0.2966322168256545,13.075013243551291,0.8920408902191288,4.720440375675947,2.769871495660827,4.109131606115269,4.720440375675947,0.8704975127509916,contact_rezeroed_candidate_not_approved
0.26,1.0,0.0,0.0025759546791672,0.52276844364485,0.26,0.21000000000000005,0.13783409654832,4.6018594383426,0.3139611955702666,13.1423864499545,0.8966374174958011,4.743196710223205,2.7707867189290676,4.314371656640701,4.743196710223205,0.9095915519045964,contact_rezeroed_candidate_not_approved
0.26,1.2,0.0012093119716336373,0.00070479500988567,0.33166420010389003,0.26120931197163366,0.21120931197163367,0.1585729396127,5.0756828856516,0.3462877318322991,13.059729183744041,0.8909981374461367,4.836658912135259,2.700155090733597,4.654298891052156,4.836658912135259,0.9622962825380227,contact_rezeroed_candidate_not_approved
0.26,1.25,0.0026301324117303827,0.0004204107450161,0.33508081287437,0.26263013241173044,0.21263013241173043,0.16452368392783,5.1366613934983,0.35044798172349007,12.980253418924145,0.8855759148693638,4.900401277326408,2.6488143897485052,4.720660745318629,4.900401277326408,0.9633212625179457,contact_rezeroed_candidate_not_approved
0.26,1.4,0.007890559295658376,0.0,0.0,0.2678905592956584,0.21789055929565843,0.18359188610196,5.3010499784944,0.3616633691934882,13.025674132992835,0.8886747365269408,5.08731890933363,2.560420206622946,4.91919380408112,5.08731890933363,0.9669521199184007,contact_rezeroed_candidate_not_approved
0.26,1.5,0.010415020552511766,0.0,0.0,0.2704150205525118,0.22041502055251183,0.19600508759827,5.4444147828389005,0.3714444122648315,13.044613039383616,0.8899668406802534,5.232467466671232,2.4930136923875192,5.075628675552084,5.232467466671232,0.9700258449540011,contact_rezeroed_candidate_not_approved
0.26,1.6,0.012417836992753119,0.0,0.0,0.2724178369927532,0.22241783699275317,0.21174458161267,5.7998270544456005,0.39569236316577694,13.090643312402804,0.8931072494091943,5.403037369369704,2.4228304224980595,5.391604627342044,5.403037369369704,0.9978840157403921,contact_rezeroed_candidate_not_approved
0.28,0.8,0.0,0.0052004875988975,0.80753723707971,0.28,0.23000000000000004,0.12896079300686,5.0600456754659,0.34522088542574003,13.110659070047902,0.8944728215838114,5.026643828301846,2.6082331507615657,4.639850040286246,5.026643828301846,0.9230512840719272,contact_rezeroed_candidate_not_approved
0.28,1.0,0.0,0.0025759546791672,0.52276844364485,0.28,0.23000000000000004,0.15117851924676,5.4313697108825,0.370554414114604,13.102679647650627,0.893928426643163,5.029147128411317,2.60534824555624,4.910421262845958,5.029147128411317,0.9763924453721711,contact_rezeroed_candidate_not_approved
0.28,1.2,0.0012093119716336373,0.00070479500988567,0.33166420010389003,0.2812093119716337,0.2312093119716337,0.1747533556993,5.6786334624006,0.3874239478515518,13.125754027595395,0.8955026728824421,5.1229875750675005,2.5621288038010612,5.153498324850114,5.1229875750675005,1.0059556556278026,contact_rezeroed_candidate_not_approved
0.28,1.25,0.0026301324117303827,0.0004204107450161,0.33508081287437,0.2826301324117304,0.23263013241173042,0.18146027164011,5.7471215927545,0.3920965406537402,12.943976304829622,0.8831009139994856,5.187853876171895,2.495054142577538,5.228468245169569,5.187853876171895,1.007828741897342,contact_rezeroed_candidate_not_approved
0.28,1.4,0.007890559295658376,0.0,0.0,0.28789055929565843,0.23789055929565842,0.20281738415028,6.0079842837038,0.40989386006939293,13.137146216170427,0.8962799033026888,5.37921777294064,2.442203824179586,5.494471695750413,5.37921777294064,1.0214257774410138,contact_rezeroed_candidate_not_approved
0.28,1.5,0.010415020552511766,0.0,0.0,0.29041502055251184,0.24041502055251182,0.21678776669687,6.0534971264567,0.4129989671931447,13.166005279019537,0.89824880869768,5.473724645061185,2.405310119298551,5.574380188690818,5.473724645061185,1.0183888577077864,contact_rezeroed_candidate_not_approved
0.28,1.6,0.012417836992753119,0.0,0.0,0.29241783699275314,0.24241783699275316,0.2343234409491,6.3553254343572005,0.4335911599089486,13.058885448767755,0.8909405737492336,5.685739180534934,2.2967788416103763,5.844648120827325,5.685739180534934,1.0279486862212066,contact_rezeroed_candidate_not_approved
