case,eyelid_thickness_mm,indent_mm,angle_deg,outer_flat_area_mm2,outer_coverage_fraction,outer_selected_faces,inner_flat_area_mm2,inner_selected_faces,ae_over_ac,image,multiview_image
eyelid_0p80mm_indent_0p28mm,0.8,0.28,0.5,3.993825682738751,0.2724781804077658,253,2.6316335751764153,136,1.5176222557773908,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_0p80mm_indent_0p28mm_flat_region_0p5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_0p80mm_indent_0p28mm_flat_region_0p5deg_multiview.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,0.5,3.773335958216219,0.2574353007958268,219,1.2911846326425354,58,2.922382951920454,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p00mm_indent_0p28mm_flat_region_0p5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p00mm_indent_0p28mm_flat_region_0p5deg_multiview.png
eyelid_1p20mm_indent_0p28mm,1.2,0.28,0.5,3.968437769643473,0.2707460937034187,235,0.4882321474606326,12,8.128177938064717,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p20mm_indent_0p28mm_flat_region_0p5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p20mm_indent_0p28mm_flat_region_0p5deg_multiview.png
eyelid_1p25mm_indent_0p28mm,1.25,0.28,0.5,4.011885307936356,0.27371029572866157,234,0.3847274780002769,8,10.427862675130962,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p25mm_indent_0p28mm_flat_region_0p5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p25mm_indent_0p28mm_flat_region_0p5deg_multiview.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,0.5,3.8131958098074286,0.2601547334139897,199,0.2887112655332908,6,13.20764467837413,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p40mm_indent_0p28mm_flat_region_0p5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p40mm_indent_0p28mm_flat_region_0p5deg_multiview.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,0.5,3.8781170418670885,0.26458397509519294,216,0.10286299444824834,2,37.70177081339215,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p50mm_indent_0p28mm_flat_region_0p5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p50mm_indent_0p28mm_flat_region_0p5deg_multiview.png
eyelid_1p60mm_indent_0p28mm,1.6,0.28,0.5,3.937999918876164,0.26866947573072036,214,0.0,0,,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p60mm_indent_0p28mm_flat_region_0p5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_0p5deg/eyelid_1p60mm_indent_0p28mm_flat_region_0p5deg_multiview.png
eyelid_0p80mm_indent_0p28mm,0.8,0.28,1.0,4.987521393871967,0.3402729267881102,324,3.364916472952076,189,1.4822125404784157,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_0p80mm_indent_0p28mm_flat_region_1deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_0p80mm_indent_0p28mm_flat_region_1deg_multiview.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,1.0,5.067620491370401,0.34573767614685313,312,2.4627510500184777,124,2.0577071691157656,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p00mm_indent_0p28mm_flat_region_1deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p00mm_indent_0p28mm_flat_region_1deg_multiview.png
eyelid_1p20mm_indent_0p28mm,1.2,0.28,1.0,5.426593634423153,0.37022856698793655,342,1.6978019973170346,75,3.196246466312662,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p20mm_indent_0p28mm_flat_region_1deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p20mm_indent_0p28mm_flat_region_1deg_multiview.png
