source_case,eyelid_thickness_mm,cornea_thickness_mm,indentation_mm,actual_indentation_mm,displacement_error_um,probe_force_n,probe_equivalent_pressure_kpa,probe_equivalent_pressure_mmhg,tangent_stiffness_n_per_mm,result_time
eyelid_0p80mm,0.8,0.6,0.0,0.0,0.0,0.02181125220164,1.488069531427894,11.161470210677113,0.3809828969111201,1.0588235294118
eyelid_0p80mm,0.8,0.6,0.025,0.024999999999999994,-6.938893903907228e-15,0.031335824624418,2.1378821094122338,16.035478836292835,0.40055563669681993,1.0882352941176
eyelid_0p80mm,0.8,0.6,0.05,0.05,0.0,0.041795497844321,2.8514918042311144,21.3880065122869,0.4216341386634266,1.1176470588235
eyelid_0p80mm,0.8,0.6,0.075,0.075,0.0,0.052385779640704,3.574012250317564,26.807370503874562,0.4433476789677399,1.1470588235294
eyelid_0p80mm,0.8,0.6,0.1,0.09999999999999999,-1.3877787807814457e-14,0.064006417984868,4.366828623070015,32.75399876291996,0.4600598159759067,1.1764705882353
eyelid_0p80mm,0.8,0.6,0.125,0.12499999999999999,-1.3877787807814457e-14,0.075627056329032,5.159644995822466,38.70062702196537,0.4776612146632469,1.2058823529412
eyelid_0p80mm,0.8,0.6,0.15,0.15000000000000002,2.7755575615628914e-14,0.087563193552379,5.973986234042137,44.80870549528313,0.4949192730117336,1.2352941176471
eyelid_0p80mm,0.8,0.6,0.175,0.175,0.0,0.10047818627268,6.85510974717303,51.41769360775438,0.5100740054989934,1.2647058823529
eyelid_0p80mm,0.8,0.6,0.2,0.2,0.0,0.11339317899298,7.736233260303855,58.02668172022513,0.5240458408373398,1.2941176470588
eyelid_0p80mm,0.8,0.6,0.225,0.22500000000000003,2.7755575615628914e-14,0.12630817171328,8.617356773434679,64.63566983269588,0.540317018226,1.3235294117647
eyelid_0p80mm,0.8,0.6,0.25,0.25,0.0,0.14034008423738,9.574681978871748,71.81621922017182,0.5579671089527337,1.3529411764706
eyelid_0p80mm,0.8,0.6,0.275,0.275,0.0,0.15457883376218,10.546118608809717,79.10261328820236,0.5724208334475335,1.3823529411765
eyelid_0p80mm,0.8,0.6,0.3,0.3,0.0,0.16881758328699,11.517555238748368,86.38900735623804,0.5876264495782666,1.4117647058824
eyelid_0p80mm,0.8,0.6,0.325,0.325,0.0,0.1836937976808,12.532482817310466,94.00161126678617,0.6067803235767997,1.4411764705882
eyelid_0p80mm,0.8,0.6,0.35,0.35000000000000003,5.551115123125783e-14,0.1993690877555,13.60192721879702,102.02312610669672,0.6221763874733997,1.4705882352941
eyelid_0p80mm,0.8,0.6,0.375,0.375,0.0,0.21504437783019,14.671371620282892,110.04464094660216,0.6392402158908665,1.5
eyelid_0p80mm,0.8,0.6,0.4,0.4,0.0,0.23079346125861,15.745850562669593,118.10391805305646,0.6617296189309996,1.5294117647059
