source_case,eyelid_thickness_mm,cornea_thickness_mm,indentation_mm,actual_indentation_mm,displacement_error_um,probe_force_n,probe_equivalent_pressure_kpa,probe_equivalent_pressure_mmhg,tangent_stiffness_n_per_mm,result_time
eyelid_0p80mm,0.8,0.6,0.0,0.0,0.0,0.01976796107771,1.348666289594366,10.115857019804428,0.42118561765648,1.0588235294118
eyelid_0p80mm,0.8,0.6,0.025,0.024999999999999994,-6.938893903907228e-15,0.030297601519122,2.067049487995878,15.504189016035447,0.4471989038823333,1.0882352941176
eyelid_0p80mm,0.8,0.6,0.05,0.05,0.0,0.042071722184284,2.870337169932163,21.529358769986672,0.47490393751306664,1.1176470588235
eyelid_0p80mm,0.8,0.6,0.075,0.075,0.0,0.054014395112074,3.685124305643556,27.640781758776164,0.5031770367978265,1.1470588235294
eyelid_0p80mm,0.8,0.6,0.1,0.09999999999999999,-1.3877787807814457e-14,0.067286758111718,4.590629354470424,34.43264693351753,0.5247339008479933,1.1764705882353
eyelid_0p80mm,0.8,0.6,0.125,0.12499999999999999,-1.3877787807814457e-14,0.080559121111362,5.496134403297292,41.22451210825889,0.5473957394529534,1.2058823529412
eyelid_0p80mm,0.8,0.6,0.15,0.15000000000000002,2.7755575615628914e-14,0.094237081312195,6.42931126259804,48.22393350383312,0.5695822530222667,1.2352941176471
eyelid_0p80mm,0.8,0.6,0.175,0.175,0.0,0.10917343282954,7.448341687728179,55.8673113794286,0.5890647852503532,1.2647058823529
eyelid_0p80mm,0.8,0.6,0.2,0.2,0.0,0.12410978434688,8.467372112857976,63.5106892550215,0.6067385972679665,1.2941176470588
eyelid_0p80mm,0.8,0.6,0.225,0.22500000000000003,2.7755575615628914e-14,0.13904613586423,9.486402537988457,71.15406713061952,0.6270270290412664,1.3235294117647
eyelid_0p80mm,0.8,0.6,0.25,0.25,0.0,0.1553751678677,10.600448388150497,79.5101212714368,0.6490348194394,1.3529411764706
eyelid_0p80mm,0.8,0.6,0.275,0.275,0.0,0.17196210366491,11.732089687393414,87.99815249841298,0.6668123593927999,1.3823529411765
eyelid_0p80mm,0.8,0.6,0.3,0.3,0.0,0.18854903946211,12.863730986635648,96.48618372538402,0.6849759447206005,1.4117647058824
eyelid_0p80mm,0.8,0.6,0.325,0.325,0.0,0.20589411817874,14.04709647706333,105.36217936322085,0.7077558258675334,1.4411764705882
eyelid_0p80mm,0.8,0.6,0.35,0.35000000000000003,5.551115123125783e-14,0.22418954506196,15.295299333905241,114.72449658649916,0.7260461705131332,1.4705882352941
eyelid_0p80mm,0.8,0.6,0.375,0.375,0.0,0.24248497194519,16.543502190747837,124.0868138097826,0.7458551375146666,1.5
eyelid_0p80mm,0.8,0.6,0.4,0.4,0.0,0.26086511127263,17.7974845418623,133.49248092484586,0.7716722633734664,1.5294117647059
eyelid_0p80mm,0.8,0.6,0.425,0.425,0.0,0.28109682259527,19.177790124941186,143.8456528175484,0.7969246396040669,1.5588235294118
eyelid_0p80mm,0.8,0.6,0.45,0.45,0.0,0.3013285339179,20.558095708019383,154.19882471024576,0.8189058525057329,1.5882352941176
eyelid_0p80mm,0.8,0.6,0.475,0.47500000000000003,5.551115123125783e-14,0.32156024524053,21.93840129109759,164.55199660294318,0.8435139699319996,1.6176470588235
eyelid_0p80mm,0.8,0.6,0.5,0.5,0.0,0.34323756650323,23.417333403558903,175.64493034577117,0.873455405583799,1.6470588235294
eyelid_0p80mm,0.8,0.6,0.525,0.5249999999999999,-1.1102230246251565e-13,0.36571488549974,24.950845245871974,187.1472468600229,0.8954742270243994,1.6764705882353
eyelid_0p80mm,0.8,0.6,0.55,0.5499999999999999,-1.1102230246251565e-13,0.38819220449626,26.484357088185725,198.64956337427972,0.9095573476207337,1.7058823529412
eyelid_0p80mm,0.8,0.6,0.575,0.575,0.0,0.41092674130116,28.03541757832824,210.2835059354663,0.9236273815840005,1.7352941176471
eyelid_0p80mm,0.8,0.6,0.6,0.6,0.0,0.43445931284492,29.640923873275547,222.3258267448399,0.9359826301580002,1.7647058823529
eyelid_0p80mm,0.8,0.6,0.625,0.625,0.0,0.45799188438868,31.24643016822285,234.3681475542135,0.9357560555360659,1.7941176470588
eyelid_0p80mm,0.8,0.6,0.65,0.6499999999999999,-1.1102230246251565e-13,0.48152445593244,32.85193646317016,246.4104683635871,0.9236352567714001,1.8235294117647
eyelid_0p80mm,0.8,0.6,0.675,0.6749999999999999,-1.1102230246251565e-13,0.50422500654405,34.40067825018383,258.02701917300845,0.9104872716707355,1.8529411764706
eyelid_0p80mm,0.8,0.6,0.7,0.7,0.0,0.52677147920526,35.93890809128373,269.5647236861413,0.8977315621592017,1.8823529411765
eyelid_0p80mm,0.8,0.6,0.725,0.725,0.0,0.54931795186647,37.47713793238363,281.10242819927413,0.8799340015356004,1.9117647058824
eyelid_0p80mm,0.8,0.6,0.75,0.75,0.0,0.5710912449339,38.962617707362185,292.24447358547116,0.8567023142107987,1.9411764705882
eyelid_0p80mm,0.8,0.6,0.775,0.7749999999999999,-1.1102230246251565e-13,0.59189534104575,40.38197416001986,302.8905518970602,0.8386251575111985,1.9705882352941
eyelid_0p80mm,0.8,0.6,0.8,0.7999999999999999,-1.1102230246251565e-13,0.6126994371576,41.801330612677525,313.53663020864917,0.8321638444739979,2.0
eyelid_1p00mm,1.0,0.6,0.0,0.0,0.0,0.018497064250064,1.2619595370739316,9.465501095647618,0.47797135666584,1.0588235294118
eyelid_1p00mm,1.0,0.6,0.025,0.024999999999999994,-6.938893903907228e-15,0.03044634816671,2.077197706545251,15.580307125195024,0.5179931473645933,1.0882352941176
eyelid_1p00mm,1.0,0.6,0.05,0.05,0.0,0.044327280635096,3.0242223194861015,22.683595501763413,0.55748234473132,1.1176470588235
eyelid_1p00mm,1.0,0.6,0.075,0.075,0.0,0.058416536053075,3.985459735576476,29.893488963385455,0.5973890022376334,1.1470588235294
eyelid_1p00mm,1.0,0.6,0.1,0.09999999999999999,-1.3877787807814457e-14,0.074149228073397,5.058820376512974,37.94437809598546,0.6347235487462201,1.1764705882353
eyelid_1p00mm,1.0,0.6,0.125,0.12499999999999999,-1.3877787807814457e-14,0.090232751064054,6.156116409732799,46.174797930820105,0.6690685241174534,1.2058823529412
eyelid_1p00mm,1.0,0.6,0.15,0.15000000000000002,2.7755575615628914e-14,0.10771959793605,7.349154012085856,55.12334057459276,0.6947991526159935,1.2352941176471
eyelid_1p00mm,1.0,0.6,0.175,0.175,0.0,0.12520644480804,8.542191614438503,64.07188321836233,0.7229660426925733,1.2647058823529
eyelid_1p00mm,1.0,0.6,0.2,0.2,0.0,0.14339540722181,9.78313094822802,73.37971938785813,0.7512272972041999,1.2941176470588
eyelid_1p00mm,1.0,0.6,0.225,0.22500000000000003,2.7755575615628914e-14,0.16300184818218,11.120777551143956,83.41292173192689,0.7748077814373333,1.3235294117647
eyelid_1p00mm,1.0,0.6,0.25,0.25,0.0,0.18260828914254,12.458424154059207,93.44612407599051,0.7982677571346672,1.3529411764706
eyelid_1p00mm,1.0,0.6,0.275,0.275,0.0,0.20221473010291,13.796070756975142,103.47932642005928,0.8273222986412669,1.3823529411765
eyelid_1p00mm,1.0,0.6,0.3,0.3,0.0,0.22392268887128,15.277093108836057,114.58793829102517,0.8574111442144005,1.4117647058824
eyelid_1p00mm,1.0,0.6,0.325,0.325,0.0,0.24578579324963,16.768700247531385,125.77594281162438,0.8816063753700665,1.4411764705882
eyelid_1p00mm,1.0,0.6,0.35,0.35000000000000003,5.551115123125783e-14,0.26764889762798,18.260307386226714,136.96394733222357,0.9060353094852666,1.4705882352941
eyelid_1p00mm,1.0,0.6,0.375,0.375,0.0,0.29072947765172,19.834976624998266,148.77497055998458,0.9365915609774002,1.5
eyelid_1p00mm,1.0,0.6,0.4,0.4,0.0,0.31488430089198,21.482935952072324,161.13571617641742,0.9612474909287333,1.5294117647059
eyelid_1p00mm,1.0,0.6,0.425,0.425,0.0,0.33903912413224,23.13089527914639,173.4964617928503,0.9875104971285341,1.5588235294118
