case,eyelid_thickness_mm,surface,radius_start_mm,radius_end_mm,radius_center_mm,face_count,raw_downward_median_um,local_downward_p10_um,local_downward_median_um,local_downward_p90_um,above_threshold_fraction,threshold_um
eyelid_0p80mm_indent_0p28mm,0.8,inner,0.15,0.3,0.22499999999999998,8,346.890442414899,345.6849944449442,346.628039399599,346.64326421491637,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,0.3,0.44999999999999996,0.375,8,342.5090018062623,341.7929487378796,342.2465987909623,342.7196899803929,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,0.44999999999999996,0.6,0.5249999999999999,28,335.52705117848427,331.96726963785966,335.26464816318435,338.9753764121495,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,0.6,0.75,0.675,36,324.1251967555688,318.41096361894904,323.86279374026884,327.7250379442527,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,0.75,0.8999999999999999,0.825,49,309.4251966290927,305.25093202510095,309.1627936137927,316.2373852292123,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,0.8999999999999999,1.05,0.975,62,294.5384810815241,286.4003551676145,294.2760780662241,301.35465474036533,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,1.05,1.2,1.125,66,278.9240668705578,271.425791969764,278.6616638552578,284.8733996990936,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,1.2,1.3499999999999999,1.275,80,258.3096452934793,248.8267261073607,258.0472422781794,264.4092804239574,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,1.3499999999999999,1.5,1.4249999999999998,66,235.84864102370568,230.34448529338903,235.58623800840576,244.78319866685905,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,1.5,1.65,1.575,68,219.98363114608915,212.26627581567985,219.7212281307892,225.61595685294526,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,1.65,1.7999999999999998,1.7249999999999999,82,200.85345252964953,194.04008224512216,200.59104951434955,205.99507119613003,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,1.7999999999999998,1.95,1.875,83,180.8526235655933,173.53691314139272,180.59022055029334,189.2663042492814,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,1.95,2.1,2.025,77,163.39887482301998,156.3246311534647,163.13647180772003,170.3880944514934,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,2.1,2.25,2.175,88,144.36904648207167,138.80331882915297,144.1066434667717,151.3728886240207,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,2.25,2.4,2.325,74,128.52509675864,124.4647891318927,128.26269374334004,134.80282980588973,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,2.4,2.55,2.4749999999999996,87,112.8872216403533,108.79590327354073,112.62481862505335,119.04506673568808,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,2.55,2.6999999999999997,2.625,85,101.45334106415667,94.16695911314935,101.19093804885672,104.69794644528136,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,2.6999999999999997,2.85,2.775,101,87.80786847758338,82.6599339342366,87.54546546228343,92.69730686479339,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,2.85,3.0,2.925,105,73.91968677629337,70.3542168542247,73.65728376099342,79.55624434978868,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,3.0,3.15,3.075,106,62.847289351656556,57.827019904748354,62.5848863363566,66.38933764537009,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,3.15,3.3,3.2249999999999996,87,53.51933163053665,48.24978147918734,53.25692861523669,55.94250148908267,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,3.3,3.4499999999999997,3.375,114,44.325814812424895,40.61236604555268,44.063411797124935,46.883185281519665,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,3.4499999999999997,3.5999999999999996,3.5249999999999995,106,35.879680445608386,31.556660364585085,35.617277430308434,37.3394672901134,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,3.5999999999999996,3.75,3.675,126,28.405615499575035,24.01492616222172,28.143212484275082,30.285631249356783,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,3.75,3.9,3.825,125,20.302008381436533,17.996212013812137,20.039605366136577,23.19861846576269,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,3.9,4.05,3.9749999999999996,111,14.193756428879839,12.862393702566845,13.931353413579881,17.059123103930087,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,4.05,4.2,4.125,123,10.01467419223332,8.12897498020668,9.752271176933363,11.6416406988268,1.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,4.2,4.35,4.275,114,6.299817932833309,4.819537586036628,6.0374149175333525,6.5699205190634675,0.9649122807017544,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,4.35,4.5,4.425,121,3.3175023220000446,1.6408504800668156,3.0550993067000873,3.7792927075333203,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,4.5,4.6499999999999995,4.574999999999999,144,0.8325868961999143,0.0,0.5701838808999573,1.4661398823298188,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,4.6499999999999995,4.8,4.725,119,-0.8665820505663561,0.0,0.0,0.0,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,4.8,4.95,4.875,123,-1.6586932972001163,0.0,0.0,0.0,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,4.95,5.1,5.025,148,-1.8002381821333484,0.0,0.0,0.0,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,5.1,5.25,5.175,168,-1.2667495680998477,0.0,0.0,0.0,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,5.25,5.3999999999999995,5.324999999999999,212,-0.4478271766498662,0.0,0.0,0.0,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,5.3999999999999995,5.55,5.475,152,0.2605942737668888,0.0,0.0,0.14629370682700193,0.0,4.574177945437284
