case,eyelid_thickness_mm,surface,face_count,surface_radius_max_mm,baseline_um,noise_sigma_um,threshold_um,local_max_um,probe_local_p10_um,probe_local_median_um,probe_local_p90_um,probe_above_threshold_fraction,probe_edge_median_um,outside_edge_median_um,radial_median_crossing_mm
eyelid_0p80mm_indent_0p28mm,0.8,inner,4096,6.0454613020557755,0.2624030152999571,1.5247259818124277,4.574177945437284,346.646963833389,164.29645706580806,235.4767091898551,318.9627711767868,1.0,156.3099539364767,129.33532152628004,4.35
eyelid_0p80mm_indent_0p28mm,0.8,outer,5230,6.579167636047211,5.506939017066752,5.296067946092818,15.888203838278455,320.21384592179317,142.06667637747591,207.60937624968332,297.56381103927794,1.0,136.84455778882995,114.03084181144335,3.9
eyelid_1p00mm_indent_0p28mm,1.0,inner,4296,6.126653427064745,0.5919709116669093,1.7009683809808303,5.1029051429424905,332.7205794171184,163.1309244734064,229.23342159701073,306.20723241708964,1.0,155.62473120437136,130.16820436318307,4.5
eyelid_1p00mm_indent_0p28mm,1.0,outer,5306,6.733792250860442,7.077309839000025,6.16512819015781,18.49538457047343,314.9163321056898,139.13436136404326,201.48579653461653,290.1035075260628,1.0,133.16769966576325,114.14351184094997,3.9
eyelid_1p20mm_indent_0p28mm,1.2,inner,4112,6.113397735472446,0.6131838471662259,0.9591397422592259,2.8774192267776777,317.1144490091868,160.51955490757305,221.97213232548674,292.40294183323334,1.0,153.52213801303546,129.6205890852921,6.1499999999999995
eyelid_1p20mm_indent_0p28mm,1.2,outer,5656,6.889732893373802,8.276679152933314,6.079788199997848,18.239364599993543,310.4886684354902,135.27144953249825,196.44484124009495,282.651184571215,1.0,128.16605359673997,110.49157209444994,3.9
eyelid_1p25mm_indent_0p28mm,1.25,inner,4348,6.126010444258816,0.9027207493665472,1.3085093887997605,3.925528166399282,312.1995211187848,159.22354117359876,219.37343821924145,288.11006935024886,1.0,152.34013431378338,128.83546654581673,4.6499999999999995
eyelid_1p25mm_indent_0p28mm,1.25,outer,5724,6.928307405427578,8.595972271766916,6.395146423078705,19.185439269236113,308.80916739193947,134.21608399025078,194.1506293691265,280.6761654872047,1.0,126.30879724176306,109.70738181577639,3.9
eyelid_1p40mm_indent_0p28mm,1.4,inner,4112,6.105553372342343,0.9424072051000213,0.7986483243809082,2.3959449731427247,297.4895745174273,155.38665597756003,211.801197178135,275.2986425682686,1.0,148.89633441476664,126.64715510169495,6.1499999999999995
eyelid_1p40mm_indent_0p28mm,1.4,outer,5710,7.044165399469746,9.181672951433109,5.771914434480336,17.315743303441007,303.13085862373373,130.49701457556688,188.1503087799001,274.6364126207736,1.0,124.57509413145038,108.117667033167,4.05
eyelid_1p50mm_indent_0p28mm,1.5,inner,4112,6.114553098219619,1.1730301653005253,0.791764626864783,2.375293880594349,287.97572896042215,152.57747229739812,206.65407058300374,266.9117649415277,1.0,146.3449427306495,124.85028989199945,6.1499999999999995
eyelid_1p50mm_indent_0p28mm,1.5,outer,6052,7.122550459654962,9.45058845176663,5.45564674825499,16.366940244764972,299.8773412388665,127.59502355358333,186.1311272968332,271.8776117600836,1.0,122.28409213520004,105.3422848201665,4.05
eyelid_1p60mm_indent_0p28mm,1.6,inner,4340,6.125860104374274,1.5246815031999366,0.904745963616435,2.714237890849305,278.27559516977544,148.33113778110337,200.57319401821508,258.2642507983425,1.0,142.2541240053051,121.41644750503167,4.8
eyelid_1p60mm_indent_0p28mm,1.6,outer,6052,7.199072488555787,9.521953928776755,4.9336784453832765,14.801035336149832,296.6207137572232,125.60807906780649,183.4811541045066,269.0021979816401,1.0,119.57852327407323,103.01061453955646,4.2
