relative_path	size_bytes	mtime_utc	sha256	cleanup_class
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPmatK	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPstack	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPsymb	36962304	2026-08-13T02:55:36Z	0fb259e0d5186324d303968827ab5d71129bbcfb0cd3229e31a0fda463ee5aa2	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPtri	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPtriU	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.esav	608436224	2026-08-13T03:28:03Z	dcf3f68d398bae11dbeb782c62c075a4768bcaebbf1d96de4a842199c9a74e91	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.full	0	2026-08-13T02:54:59Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.osav	292093952	2026-08-13T03:27:55Z	dc21688538735df1b6ad89d20616dce8bc52af352f27b610b32ad0823e446f0e	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.page	0	2026-08-13T02:54:24Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.r001	292093952	2026-08-13T03:27:51Z	9077148f8f3ecc4b9d06c1a4eed3592f5c30fd78b2df441619e3f40508f17a4a	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.rst	1049493504	2026-08-13T03:27:51Z	68889b5c7e2e54d2849ebd005056c2d6cd2055111d3b708087b3be9bab8dc660	incomplete_rst
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPmatK	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPstack	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPsymb	37748736	2026-08-13T02:55:36Z	ea3fa6a7e7d2f152537299b383bb85951cbe98df4c094eb3c9d2e552e639dee0	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPtri	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPtriU	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.esav	739704832	2026-08-13T03:28:03Z	ab19530f5018d1724443e85ab03bb1bfcb9761be2d69f2fc2962e1659f1a64a3	solver_scratch
