relative_path	size_bytes	allocated_bytes	mtime_utc	class	sha256
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPmatK	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPstack	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPtriU	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPmatK	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPstack	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPtriU	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.DSPmatK	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.DSPstack	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.DSPtriU	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPmatK	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPstack	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPtriU	0	1024	2026-08-13T03:44:09Z	solver_dsp_scratch	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
