key,value
started_at_utc,2026-08-14T08:58:14Z
authorization,user_allowed_deletion_of_unneeded_rst
reason,accepted_pair_scalar_contact_and_native_007_field_qc_complete
solver_processes_before,0
running_blueknow_units_before,0
field_qc_root,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260814T085004Z_6ef45199_L010_h1p25_iop0_iop20_field_qc
deleted_file_count,2
apparent_bytes_deleted,3498967040
allocated_bytes_deleted,2637785088
iop0_rst_remaining,0
iop20_rst_remaining,0
iop0_db_retained,1
iop0_db_sha256,3ea0583611f384db34dbed1f7d5e3163536d96f00f1516882aa5d85e79178bed
iop20_db_retained,1
iop20_db_sha256,39487814335e50ddc1350dce40624d5336b5d345b4e817ea4ac305903d484889
solver_processes_after,0
running_blueknow_units_after,0
ended_at_utc,2026-08-14T08:58:15Z
