mesh_size_mm,eyelid_thickness_mm,iop_mmhg,status,accepted_endpoint,np_used,campaign_workers,started_at_utc,ended_at_utc,elapsed_seconds,elapsed_hours,rank_hours,solver_elements,solver_nodes,solver_equations,ansys_error_count,result_load_step,returncode,timing_quality,source_manifest,external_attempt_dir,source_git_commit
0.30,2.00,20,complete,true,4,1,2026-07-24T10:58:58+00:00,2026-07-24T11:43:11+00:00,2651.250,0.736458,2.945833,177278,239008,679716,0,3,0,historical_campaign_with_heterogeneous_rank_count,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260724_371ed27_geometry_zero_smoke/run_manifest.csv,,371ed27d6a624be7352eb57688f978cbe4b03e2c
0.30,2.00,0,complete,true,8,2,2026-07-29T08:18:03+00:00,2026-07-29T08:40:18+00:00,1333.968,0.370547,2.964373,177278,239008,679716,0,3,0,historical_campaign_with_heterogeneous_rank_count,/home/xuanyu/PROJECT/ziyu/blueknow-data/zero_iop/20260729T074121Z_fcde428b_remaining8_mesh0p30_np8_workers2/run/run_manifest.csv,,fcde428b1af9cf7081fabd31a69f7d6d16317b09
0.30,1.80,20,complete,true,4,1,2026-07-24T12:30:21+00:00,2026-07-24T12:57:38+00:00,1635.951,0.454431,1.817723,165600,223187,632253,0,3,0,historical_campaign_with_heterogeneous_rank_count,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260724_371ed27_geometry_zero_middle/run_manifest.csv,,371ed27d6a624be7352eb57688f978cbe4b03e2c
0.30,1.80,0,complete,true,8,2,2026-07-29T08:12:55+00:00,2026-07-29T08:33:08+00:00,1212.320,0.336756,2.694044,165600,223187,632253,0,3,0,historical_campaign_with_heterogeneous_rank_count,/home/xuanyu/PROJECT/ziyu/blueknow-data/zero_iop/20260729T074121Z_fcde428b_remaining8_mesh0p30_np8_workers2/run/run_manifest.csv,,fcde428b1af9cf7081fabd31a69f7d6d16317b09
0.30,1.60,20,complete,true,4,1,2026-07-24T12:08:39+00:00,2026-07-24T12:30:21+00:00,1301.920,0.361644,1.446578,151599,204248,575145,0,3,0,historical_campaign_with_heterogeneous_rank_count,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260724_371ed27_geometry_zero_middle/run_manifest.csv,,371ed27d6a624be7352eb57688f978cbe4b03e2c
0.30,1.60,0,complete,true,8,2,2026-07-29T08:02:14+00:00,2026-07-29T08:18:03+00:00,948.324,0.263423,2.107387,151599,204248,575145,0,3,0,historical_campaign_with_heterogeneous_rank_count,/home/xuanyu/PROJECT/ziyu/blueknow-data/zero_iop/20260729T074121Z_fcde428b_remaining8_mesh0p30_np8_workers2/run/run_manifest.csv,,fcde428b1af9cf7081fabd31a69f7d6d16317b09
0.24,2.00,20,complete,true,8,1,2026-08-07T13:57:16+00:00,2026-08-07T16:09:22+00:00,7924.798,2.201333,17.610662,343661,460814,1306563,0,3.0,0,accepted_bounded_wall_time,thickness_mesh_independence/results/screening/iop20_run_manifest.csv,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260807T113236Z_cef09f9_mesh0p24_screening_bounded/iop20/eyelid_2p00mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a
0.24,2.00,0,complete,true,8,1,2026-08-07T13:38:09+00:00,2026-08-07T15:50:56+00:00,7965.081,2.212522,17.700180,343661,460814,1306563,0,3.0,0,accepted_bounded_wall_time,thickness_mesh_independence/results/screening/iop0_run_manifest.csv,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260807T113236Z_cef09f9_mesh0p24_screening_bounded/iop0/eyelid_2p00mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a
0.24,1.80,20,complete,true,8,1,2026-08-07T12:36:15+00:00,2026-08-07T13:57:16+00:00,4860.241,1.350067,10.800536,320884,430100,1214505,0,3.0,0,accepted_bounded_wall_time,thickness_mesh_independence/results/screening/iop20_run_manifest.csv,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260807T113236Z_cef09f9_mesh0p24_screening_bounded/iop20/eyelid_1p80mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a
0.24,1.80,0,complete,true,8,1,2026-08-07T12:27:08+00:00,2026-08-07T13:38:09+00:00,4259.690,1.183247,9.465978,320884,430100,1214505,0,3.0,0,accepted_bounded_wall_time,thickness_mesh_independence/results/screening/iop0_run_manifest.csv,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260807T113236Z_cef09f9_mesh0p24_screening_bounded/iop0/eyelid_1p80mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a
0.24,1.60,20,complete,true,8,1,2026-08-07T11:33:40+00:00,2026-08-07T12:36:15+00:00,3754.014,1.042782,8.342253,289300,387863,1087947,0,3.0,0,accepted_bounded_wall_time,thickness_mesh_independence/results/screening/iop20_run_manifest.csv,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260807T113236Z_cef09f9_mesh0p24_screening_bounded/iop20/eyelid_1p60mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a
